title,abstract,domain,technologies,Year,source_url
Secure IoT Network Isolation Module,"Containers / VLANs isolate devices, detect anomalies in tenant-IoT traffic.","Network,Cybersecurity"," Python, Docker, ONOS, MQTT",2024.0,
Virtual Coach for Public Speaking,"Gives feedback on speech—body language, tone, filler words—from video.","Computer Vision, NLP,AI"," Python, OpenCV, Flask,React",2025.0,
Automatic Essay Plagiarism Checker with Stylometry,Detect copied content & writing style changes; supports multiple languages.,"NLP, AI","Python, Cosine similarity, ElasticSearch",2024.0,
Smart Warehouse Temperature & Humidity Control,IoT sensors regulate environment for sensitive goods; trigger alarms.,IoT,"ESP32, MQTT, Python, Dashboard",2025.0,
Emotion-Aware Smart Lighting,Change lighting color/brightness based on detected mood of room occupants.,"Edge AI,IoT/AI"," Python, OpenCV, ESP32, MQTT",2024.0,
AI-fronted Virtual HR Assistant,"Handles leave requests, screenings, basic HR tasks and reports trends.","NLP,AI"," Python, Rasa, React",2025.0,
Blockchain-based Voting for Student Councils,Small scale e-voting system ensuring fairness and transparency.,Blockchain,"Solidity, Web3.js, React, Node.js",2024.0,
Real-Time Forest Fire Prediction Dashboard,Weather + satellite data feed show imminent risk zones.,Data Science,"Python, GIS, ML, Dashboard",2025.0,
AI Assistive Tool for Dyscalculia,Helps users with number-processing difficulties with visual/interactive aids.,"Education,AI"," Python, TensorFlow, React",2024.0,
Smart Campus Navigation App,"Indoor/outdoor maps, AR markers to help new students find rooms/labs.",Mobile/IoT,"Flutter, ARKit/ARCore, Beacon, GPS",2025.0,
Cyber Threat Intelligence Dashboard,"Aggregates feeds, scores threats, visualizes network risk & attack maps.",Cybersecurity,"Python, ELK, Grafana, React",2024.0,
Automatic Code Review Mentor Using LLMs,"LLM suggests improvements, style guides and detects bugs during code reviews.","NLP,AI"," Python, LLMs, GitHub API, Web UI",2025.0,
Smart Shopping Cart Prototype,Cart tracks items automatically and totals price with no scanning.,"Computer Vision, AI","Embedded, Python, Edge device",2024.0,
"IoT-based Noise Pollution Mapping""",Crowd-sourced noise data from mobiles & sensors; visualize heatmap for city planners.,"Mobile,Data Science/IoT"," Sensors, Python, Dashboard",2025.0,
Food Quality Inspection with Hyperspectral Imaging,"Use imaging and ML to detect quality, freshness of produce.","Computer Vision,AI"," Python, Hyperspectral sensors, ML",2025.0,
Blockchain-enabled Health Record Share System,Patients control access to their health data across providers via blockchain.,"Smart Contracts, Blockchain","IPFS, Ethereum, React",2024.0,
Sentiment-Aware Story Generator,Generative model creates stories influenced by sentiment & themes selected by user.,"Generative Models,AI"," Python, GPT style, Web UI",2025.0,
Virtual Wardrobe Assistant,Suggest outfits from existing closet using CV and style matching.,"Computer Vision,AI"," Python, ML, React Native",2024.0,
Smart Parking with Payment & Guidance,"Sensor & camera detect free spots, guide drivers, enable payment through app.","Mobile,IoT"," Sensors, Python, React, GPS",2025.0,
Energy Monitoring & Predictive Usage App,Track household energy use; predict peaks; suggest savings.,"Data Science, IoT","Python, ML, MQTT, Dashboard",2024.0,
Automated ML Pipeline Builder,"Tool to automate data cleaning, feature selection, model selection & deployment.",AI,"ML Ops, Python, Scikit-learn, Docker, Kubernetes",2025.0,
Smart Baby Monitor with Cry Detection,"Detects baby crying & danger signals, notifies parent via mobile alerts.","Audio Processing, IoT","Python, Embedded, Mobile App",2025.0,
Language-agnostic Code Translator,Translates code between programming languages using ML models.,"NLP,AI"," Python, Transformer models, Web UI",2024.0,
IoT-Based Elderly Medication Reminder System,Alarms & dispense reminders; logs doses and sends alerts if missed.,"Microcontrollers,IoT"," Python, BLE, Mobile App",2025.0,
AI-Assisted Financial Portfolio Rebalancer,Analyzes investments and suggests rebalancing to optimize returns vs risk.,Data Science,"Python, Finance APIs, ML, Web UI",2024.0,
Smart Mirror with Health Analytics,"Mirror displays health stats, posture, mood and environmental data.","Computer Vision, IoT/AI","Python, Sensors, Edge device",2025.0,
Automatic Music Transcription from Audio,Converts recorded music into sheet music via audio signal processing & DL.,"Audio Processing,AI"," Python, Librosa, TensorFlow, Web UI",2024.0,
IoT Smart Refrigerator with Food Freshness Sensor,"Senses spoilage gases & temperatures, alerts when foods are about to go bad.",IoT,"Sensors, Python, Embedded, Mobile",2025.0,
AI-based Underwater Object Detection with Sonar,Detects underwater obstacles or marine life using sonar + ML.,"Signal/Computer Vision, AI","Python, Sonar Sensors, ML",2025.0,
Secure Personal Data Backup via Decentralized Storage,User backups encrypted & distributed across decentralized nodes for availability & privacy.,"Blockchain,Cybersecurity"," IPFS, Encryption, Python, Web UI",2024.0,
Real-Time Social Distancing Monitoring,Cameras detect spacing between people; send alerts if rules are broken.,AI/Computer Vision," OpenCV, Python, Edge devices",2025.0,
"AI-powered Smart Alarm System""","Alarm triggers only on relevant motion/sound patterns, avoiding false alarms.","Audio/Computer Vision,AI"," Python, TensorFlow, Edge device",2024.0,
Personal Finance Voice Assistant,"Allows voice commands to check balance, budgets, record expenses, via speech recognition.","Speech/NLP,AI"," Python, Speech-to-text, Mobile App",2025.0,
Virtual Lab Simulator for Chemistry Experiments,Simulates safe lab experiments; visual interactive controls & measurements.,VR/Education,"Unity, C#, Python backend, Web UI",2024.0,
"AI-enabled Mental Health Mood Tracker""",Tracks user’s mood via voice/text/images; suggests coping strategies.,"NLP, AI","Python, Transformer models, React Native",2025.0,
"Smart Traffic Sign Maintenance via Crowdsourcing""",Users report broken traffic signs; system aggregates & assigns maintenance.,"Mobile App,Web/IoT"," Python, GIS, Dashboard",2024.0,
"Blockchain-based Royalty System for Artists""","Tracks music ownership, pays royalties transparently via smart contracts.",Blockchain,"Solidity, IPFS, Web3.js, React",2025.0,
"Real-Time Sports Analytics Dashboard""",Loads live sports data; shows visual stats & predictive metrics.,Data Science,"Python, APIs, React, D3.js",2024.0,
"IoT-based Smart Thermostat""",Learns user patterns & weather; automatically adjusts home heating/cooling.,IoT,"ML, Python, Embedded, Mobile UI",2025.0,
"AI-based Wildlife Species Identifier""",Identifies species via camera traps & ML models; helps biodiversity tracking.,"Computer Vision,AI"," Python, TensorFlow, Raspberry Pi",2024.0,
"Smart Chat Moderation Tool""","Automatically moderates chat content (toxicity, spam, abuse) with ML & filters.",AI/NLP," Python, Transformer Models, Flask, Web UI",2025.0,
Remote Crop Yield Control via MQTT,"Design and prototype an IoT system for monitoring crop yield using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"MQTT, Raspberry Pi, LoRa, Arduino",2025.0,
Recommendations for Speech Emotion on E-commerce,Build an intelligent storefront or recommendation system to enhance speech emotion shopping and transaction workflows online.,E-commerce,"React, Firebase",2023.0,
Edge-based Gesture Control Analytics,"Process gesture control data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"Docker, Edge TPU, TensorFlow Lite",2024.0,
AI-powered Noise Monitoring Predictor,This project develops an AI model to noise monitoring by training deep neural networks on relevant datasets and evaluating performance on accuracy and robustness metrics.,AI,"OpenAI API, TensorFlow, PyTorch, HuggingFace, Transformers",2022.0,
Infrastructure-as-Code for Retail Sales,Create an automated CI/CD pipeline and infrastructure setup to deploy and maintain services related to retail sales reliably.,DevOps,"Ansible, Kubernetes, Jenkins, Terraform",2024.0,
Smart Emotion Recognition using IoT,"Design and prototype an IoT system for monitoring emotion recognition using sensors, microcontrollers and cloud services for data logging and remote control.",IoT,"C++, Python, Raspberry Pi, Arduino",2022.0,
Smart Contract-based HR Analytics System,Design a decentralized application using smart contracts to manage hr analytics transactions with transparency and immutability.,Blockchain,"Ethereum, Solidity",2024.0,
Usability Study and Prototype for Language Learning,Design and evaluate an interactive interface that improves user experience around language learning through prototyping and user studies.,Human-Computer Interaction,"User Studies, React, Figma",2025.0,
Marketplace for Gesture Control,"Build a web platform that enables users to manage and interact with gesture control data, featuring authentication, dashboards, and real-time updates.",Web Development,"MongoDB, React, CSS",2024.0,
Scalable Language Learning on Cloud,"Implement a scalable cloud solution for processing language learning workloads, using containerization and orchestration for reliability.",Cloud Computing,"AWS, Azure, Terraform, Kubernetes",2024.0,
Marketplace for Fraud,"Build a web platform that enables users to manage and interact with fraud data, featuring authentication, dashboards, and real-time updates.",Web Development,"React, Next.js, MongoDB, Express",2024.0,
Scalable Student Performance on Cloud,"Implement a scalable cloud solution for processing student performance workloads, using containerization and orchestration for reliability.",Cloud Computing,"Terraform, Kubernetes, Docker, GCP",2024.0,
Smart Contract-based Student Performance System,Design a decentralized application using smart contracts to manage student performance transactions with transparency and immutability.,Blockchain,"Solidity, IPFS",2023.0,
Path Planning for Time Series Forecasting Robot,"Develop a robotic system capable of performing time series forecasting tasks autonomously using sensors, actuators and planning algorithms.",Robotics,"OpenCV, ROS, Lidar, Motor Drivers, C++",2025.0,
Edge-based Sign Language Analytics,"Process sign language data at the edge to reduce latency and bandwidth, deploying lightweight ML models on edge devices.",Edge Computing,"Raspberry Pi, Docker",2023.0,
Disaster Response Recognition using Computer Vision,Use computer vision techniques to detect and analyze disaster response from images or video in real-time with high accuracy.,Computer Vision,"OpenCV, YOLO, Python, PyTorch, MediaPipe",2025.0,
Language Learning Recognition using Computer Vision,Use computer vision techniques to detect and analyze language learning from images or video in real-time with high accuracy.,Computer Vision,"YOLO, Python, OpenCV",2024.0,
Genomic Crop Yield Analysis Pipeline,"Apply computational methods to analyze biological data related to crop yield, enabling insights into sequences, structures, or functions.",Bioinformatics,"BLAST, Biopython, Python, R",2025.0,
Marketplace for Speech Emotion,"Build a web platform that enables users to manage and interact with speech emotion data, featuring authentication, dashboards, and real-time updates.",Web Development,"CSS, JavaScript, MongoDB, Express, React",2025.0,
